days,open,high,low,close
51,3380.45,3389.15,3341.02,3373.23
50,3380.39,3393.52,3378.83,3386.15
49,3369.04,3375.01,3355.61,3370.29
48,3380.16,3380.16,3380.16,3380.16
47,3380.16,3380.16,3380.16,3380.16
46,3380.16,3380.16,3380.16,3380.16
45,3378.08,3380.69,3366.15,3380.16
44,3365.9,3385.09,3360.52,3373.94
43,3370.5,3381.47,3369.72,3379.45
42,3365.87,3375.63,3352.72,3357.75
41,3318.28,3352.26,3317.77,3352.09
40,3327.71,3327.71,3327.71,3327.71
39,3327.71,3327.71,3327.71,3327.71
38,3335.54,3341.42,3322.12,3327.71
37,3344.92,3347.96,3334.39,3345.78
36,3324.91,3337.58,3313.75,3334.69
35,3280.61,3306.92,3280.61,3297.59
34,3235.66,3268.44,3235.66,3248.92
33,3225.52,3225.52,3225.52,3225.52
32,3225.52,3225.52,3225.52,3225.52
31,3282.33,3282.33,3214.68,3225.52
30,3256.45,3285.91,3242.8,3283.66
29,3289.46,3293.47,3271.89,3273.4
28,3255.35,3285.78,3253.22,3276.24
27,3247.16,3258.85,3234.5,3243.63
26,3295.47,3295.47,3295.47,3295.47
25,3295.47,3295.47,3295.47,3295.47
24,3333.1,3333.18,3281.53,3295.47
23,3315.77,3326.88,3301.87,3325.54
22,3330.02,3337.77,3320.04,3321.75
21,3321.03,3329.79,3316.61,3320.79
20,3329.62,3329.62,3329.62,3329.62
19,3329.62,3329.62,3329.62,3329.62
18,3329.62,3329.62,3329.62,3329.62
17,3323.66,3329.88,3318.86,3329.62
16,3302.97,3317.11,3302.82,3316.81
15,3282.27,3298.66,3280.69,3289.29
14,3285.35,3294.25,3277.19,3283.15
13,3271.13,3288.13,3268.43,3288.13
12,3265.35,3265.35,3265.35,3265.35
11,3265.35,3265.35,3265.35,3265.35
10,3281.81,3282.99,3260.86,3265.35
9,3266.03,3275.58,3263.67,3274.7
8,3238.59,3267.07,3236.67,3253.05
7,3241.86,3244.91,3232.43,3237.18
6,3217.55,3246.84,3214.64,3246.28
5,3234.85,3234.85,3234.85,3234.85
4,3234.85,3234.85,3234.85,3234.85
3,3226.36,3246.15,3222.34,3234.85
2,3244.67,3258.14,3235.53,3257.85
1,3215.18,3231.72,3212.03,3230.78
