days,open,high,low,close
492,56863.00,58334.00,55427.00,55987.00
491,54842.00,57909.00,53058.00,56854.00
490,56821.00,57465.00,53330.00,54842.00
489,57016.00,58973.00,56306.00,56826.00
488,57685.00,57948.00,56130.00,57016.00
487,56812.00,58459.00,56726.00,57700.00
486,52991.00,57295.00,52871.00,56803.00
485,54456.00,55191.00,52408.00,53006.00
484,55180.00,56369.00,53913.00,54456.00
483,53297.00,55289.00,52689.00,55067.00
482,48065.00,54363.00,47110.00,53297.00
481,50955.00,51113.00,48075.00,48075.00
480,50556.00,51215.00,48821.00,50955.00
479,51597.00,52220.00,47657.00,50620.00
478,55029.00,55410.00,51515.00,51843.00
477,56781.00,57079.00,54346.00,55029.00
476,56175.00,57035.00,53463.00,56852.00
475,56231.00,57554.00,54305.00,56175.00
474,60843.00,60966.00,51907.00,56239.00
473,61977.00,62490.00,59747.00,60843.00
472,63381.00,63769.00,60081.00,61962.00
471,62403.00,63649.00,62034.00,63381.00
470,63196.00,64788.00,61368.00,62357.00
469,60000.00,63621.00,59783.00,63196.00
468,59607.00,61224.00,59429.00,60011.00
467,58606.00,60649.00,58599.00,59607.00
466,58354.00,61197.00,57876.00,58621.00
465,57677.00,58879.00,57473.00,58354.00
464,56221.00,58134.00,55752.00,57681.00
463,58244.00,58624.00,55494.00,56157.00
462,58800.00,59469.00,57391.00,58244.00
461,58030.00,59231.00,56886.00,58810.00
460,58038.00,58463.00,56504.00,58030.00
459,58655.00,59797.00,57848.00,58063.00
458,58862.00,60118.00,58526.00,58655.00
457,58932.00,59441.00,58021.00,58855.00
456,58671.00,59831.00,57054.00,58932.00
455,57250.00,59408.00,57078.00,58671.00
454,54863.00,58335.00,54830.00,57176.00
453,55909.00,56616.00,54740.00,54863.00
452,54014.00,56254.00,53986.00,55916.00
451,51989.00,54262.00,51309.00,54014.00
450,54175.00,54175.00,50485.00,51989.00
449,54445.00,57159.00,53294.00,54175.00
448,54610.00,55816.00,53100.00,54346.00
447,57788.00,58373.00,54316.00,54610.00
446,58466.00,58792.00,55578.00,57792.00
445,58404.00,59909.00,57890.00,58466.00
444,57533.00,59436.00,56303.00,58426.00
443,57706.00,60040.00,57145.00,57533.00
442,56392.00,58197.00,54298.00,57834.00
441,56398.00,56952.00,53311.00,56379.00
440,60259.00,60738.00,55030.00,56398.00
439,61002.00,61674.00,59348.00,60173.00
438,56990.00,61732.00,56144.00,61002.00
437,57721.00,58118.00,55160.00,56981.00
436,56954.00,57918.00,54416.00,57721.00
435,54313.00,57357.00,53235.00,56932.00
434,51883.00,54818.00,51448.00,54313.00
433,50104.00,51949.00,49368.00,51896.00
432,48592.00,51343.00,48552.00,50104.00
431,49138.00,49391.00,47147.00,48583.00
430,47917.00,49442.00,46472.00,49138.00
429,50952.00,51777.00,47555.00,47924.00
428,47466.00,52564.00,47422.00,50952.00
427,48844.00,50200.00,47144.00,47477.00
426,45254.00,49412.00,44970.00,48844.00
425,46844.00,46859.00,43197.00,45255.00
424,45680.00,48321.00,45118.00,46844.00
423,48199.00,48821.00,44246.00,45621.00
422,48720.00,52054.00,48119.00,48199.00
421,48084.00,51337.00,47039.00,48720.00
420,54919.00,55032.00,45212.00,48016.00
419,57332.00,57616.00,48034.00,54919.00
418,56523.00,58315.00,54040.00,57332.00
417,55493.00,57485.00,55101.00,56501.00
416,52051.00,56211.00,50880.00,55493.00
415,52333.00,52524.00,51023.00,52059.00
414,48607.00,52619.00,48590.00,52333.00
413,48183.00,50513.00,47186.00,48642.00
412,48840.00,49277.00,45944.00,48183.00
411,47210.00,49698.00,46954.00,48921.00
410,47962.00,48143.00,46342.00,47210.00
409,46943.00,48842.00,46438.00,47853.00
408,45050.00,48593.00,44090.00,46943.00
407,47357.00,47357.00,43783.00,45039.00
406,44692.00,48219.00,44356.00,47357.00
405,38610.00,44797.00,38085.00,44797.00
404,40085.00,40481.00,37422.00,38610.00
403,37853.00,40972.00,37714.00,40103.00
402,37687.00,38325.00,36642.00,37853.00
401,37284.00,38725.00,36281.00,37712.00
400,35710.00,37450.00,35473.00,37284.00
399,33667.00,35982.00,33470.00,35686.00
398,32608.00,34698.00,32397.00,33667.00
397,34649.00,34789.00,32237.00,32626.00
396,34642.00,35344.00,32880.00,34649.00
395,33274.00,38641.00,32002.00,34715.00
394,30941.00,33286.00,29970.00,33274.00
393,31993.00,32879.00,29288.00,31030.00
392,32681.00,32812.00,30921.00,31993.00
391,31934.00,34860.00,31731.00,32643.00
390,32399.00,33069.00,31012.00,31934.00
389,33375.00,33642.00,31471.00,32340.00
388,31275.00,33842.00,28898.00,33375.00
387,34919.00,35664.00,31048.00,31275.00
386,36494.00,36788.00,33487.00,34892.00
385,36252.00,37843.00,36170.00,36494.00
384,36530.00,37433.00,34841.00,36255.00
383,35935.00,36828.00,33928.00,36530.00
382,36324.00,37938.00,35624.00,35785.00
381,38757.00,39673.00,34446.00,36324.00
380,37248.00,40030.00,36799.00,38863.00
379,34736.00,37358.00,32466.00,37248.00
378,34088.00,36612.00,32585.00,34766.00
377,37984.00,38931.00,30323.00,34184.00
376,40802.00,41423.00,35193.00,37984.00
375,39927.00,41401.00,38775.00,40769.00
374,39596.00,41958.00,36722.00,39927.00
373,35934.00,40358.00,35806.00,39596.00
372,33788.00,36452.00,33478.00,35848.00
371,31029.00,34221.00,29991.00,33788.00
370,33581.00,33649.00,28258.00,31027.00
369,31714.00,34524.00,31494.00,33581.00
368,29243.00,33219.00,29050.00,31690.00
367,28965.00,29650.00,28754.00,29259.00
366,28898.00,29298.00,27989.00,28966.00
365,26870.00,28980.00,26870.00,28896.00
364,26606.00,27164.00,25926.00,26870.00
363,26303.00,27404.00,26136.00,26634.00
362,26666.00,28326.00,25824.00,26303.00
361,24409.00,26753.00,24379.00,26648.00
360,23399.00,24657.00,23379.00,24409.00
359,23295.00,23546.00,22689.00,23384.00
358,23434.00,24085.00,22863.00,23299.00
357,23138.00,23598.00,22385.00,23434.00
356,23406.00,24094.00,22080.00,23146.00
355,23988.00,24244.00,23117.00,23494.00
354,22898.00,24128.00,22805.00,24004.00
353,22775.00,23278.00,22398.00,22911.00
352,21200.00,23685.00,21200.00,22767.00
351,19431.00,21275.00,19319.00,21240.00
350,19199.00,19561.00,19086.00,19431.00
349,19182.00,19314.00,18996.00,19201.00
348,18800.00,19414.00,18734.00,19182.00
347,18106.00,18837.00,18033.00,18794.00
346,18351.00,18396.00,17604.00,18106.00
345,18550.00,18650.00,17938.00,18352.00
344,18776.00,18823.00,17653.00,18550.00
343,19087.00,19302.00,18632.00,18784.00
342,19249.00,19429.00,18924.00,19087.00
341,19019.00,19339.00,18895.00,19246.00
340,18828.00,19186.00,18512.00,19019.00
339,19465.00,19550.00,18735.00,18833.00
338,19160.00,19618.00,18920.00,19465.00
337,19089.00,19337.00,18362.00,19161.00
336,19380.00,19928.00,18229.00,19089.00
335,18267.00,19835.00,18094.00,19376.00
334,17765.00,18330.00,17556.00,18267.00
333,17037.00,17891.00,16895.00,17764.00
332,17122.00,17463.00,16508.00,17037.00
331,18859.00,18924.00,16311.00,17122.00
330,18938.00,19495.00,18649.00,18846.00
329,18419.00,19414.00,18120.00,18938.00
328,18585.00,18759.00,18012.00,18426.00
327,18635.00,18733.00,17666.00,18585.00
326,18586.00,18964.00,18443.00,18638.00
325,17939.00,18809.00,17732.00,18586.00
324,17781.00,18163.00,17377.00,17939.00
323,17633.00,18467.00,17318.00,17781.00
322,16717.00,17837.00,16569.00,17627.00
321,15859.00,16885.00,15795.00,16717.00
320,15996.00,16149.00,15824.00,15865.00
319,16287.00,16362.00,15738.00,15997.00
318,16155.00,16486.00,15984.00,16287.00
317,15799.00,16204.00,15499.00,16150.00
316,15393.00,15959.00,15293.00,15799.00
315,15392.00,15470.00,15092.00,15393.00
314,15333.00,15845.00,14866.00,15392.00
313,14846.00,15652.00,14692.00,15347.00
312,15549.00,15760.00,14428.00,14846.00
311,15244.00,15937.00,15206.00,15561.00
310,14005.00,15291.00,14005.00,15244.00
309,13733.00,14240.00,13556.00,14002.00
308,13619.00,13798.00,13308.00,13733.00
307,13816.00,13837.00,13243.00,13622.00
306,13847.00,13894.00,13645.00,13816.00
305,13644.00,14047.00,13440.00,13841.00
304,13484.00,13673.00,13146.00,13644.00
303,13208.00,13641.00,12990.00,13482.00
302,13619.00,13847.00,12925.00,13208.00
301,13025.00,13754.00,13000.00,13632.00
300,13038.00,13242.00,12810.00,13025.00
299,13103.00,13339.00,12911.00,13040.00
298,12941.00,13161.00,12887.00,13103.00
297,13128.00,13197.00,12746.00,12941.00
296,12856.00,13216.00,12706.00,13128.00
295,11904.00,12905.00,11889.00,12853.00
294,11732.00,12044.00,11693.00,11904.00
293,11447.00,11811.00,11419.00,11732.00
292,11357.00,11500.00,11345.00,11447.00
291,11319.00,11406.00,11283.00,11356.00
290,11558.00,11558.00,11231.00,11314.00
289,11398.00,11593.00,11288.00,11544.00
288,11437.00,11546.00,11306.00,11396.00
287,11564.00,11719.00,11322.00,11437.00
286,11342.00,11599.00,11225.00,11564.00
285,11371.00,11436.00,11277.00,11350.00
284,11041.00,11464.00,11029.00,11371.00
283,10894.00,11099.00,10848.00,11042.00
282,10662.00,10945.00,10558.00,10894.00
281,10557.00,10678.00,10546.00,10660.00
280,10740.00,10797.00,10544.00,10557.00
279,10652.00,10754.00,10635.00,10741.00
278,10580.00,10700.00,10536.00,10652.00
277,10540.00,10607.00,10475.00,10580.00
276,10613.00,10668.00,10401.00,10540.00
275,10707.00,10920.00,10471.00,10613.00
274,10761.00,10865.00,10675.00,10711.00
273,10871.00,10892.00,10647.00,10761.00
272,10727.00,10948.00,10712.00,10871.00
271,10721.00,10802.00,10609.00,10727.00
270,10713.00,10798.00,10661.00,10720.00
269,10624.00,10772.00,10576.00,10713.00
268,10216.00,10705.00,10204.00,10637.00
267,10521.00,10579.00,10144.00,10216.00
266,10479.00,10539.00,10379.00,10520.00
265,10858.00,10988.00,10323.00,10479.00
264,11093.00,11093.00,10782.00,10861.00
263,10900.00,11164.00,10892.00,11093.00
262,10938.00,11040.00,10833.00,10900.00
261,11000.00,11058.00,10765.00,10938.00
260,10870.00,11101.00,10681.00,11000.00
259,10697.00,10944.00,10634.00,10870.00
258,10324.00,10752.00,10262.00,10694.00
257,10446.00,10586.00,10231.00,10324.00
256,10329.00,10485.00,10289.00,10447.00
255,10308.00,10384.00,10222.00,10329.00
254,10265.00,10476.00,10187.00,10307.00
253,10027.00,10351.00,9891.00,10265.00
252,10142.00,10437.00,9953.00,10030.00
251,10243.00,10354.00,9893.00,10142.00
250,10112.00,10308.00,9970.00,10242.00
249,10610.00,10639.00,9905.00,10112.00
248,10793.00,10812.00,10042.00,10610.00
247,11372.00,11461.00,10558.00,10794.00
246,12023.00,12051.00,11223.00,11372.00
245,11685.00,12062.00,11561.00,12023.00
244,11643.00,11785.00,11580.00,11683.00
243,11528.00,11694.00,11477.00,11643.00
242,11500.00,11591.00,11448.00,11528.00
241,11271.00,11553.00,11258.00,11500.00
240,11499.00,11573.00,11152.00,11272.00
239,11275.00,11542.00,11270.00,11499.00
238,11743.00,11792.00,11150.00,11272.00
237,11674.00,11832.00,11609.00,11743.00
236,11616.00,11724.00,11537.00,11680.00
235,11625.00,11658.00,11395.00,11616.00
234,11871.00,11899.00,11624.00,11634.00
233,11733.00,11896.00,11697.00,11871.00
232,12035.00,12103.00,11630.00,11728.00
231,12331.00,12413.00,11875.00,12035.00
230,11857.00,12466.00,11779.00,12329.00
229,11876.00,11981.00,11716.00,11857.00
228,11777.00,11987.00,11731.00,11876.00
227,11621.00,11864.00,11621.00,11777.00
226,11575.00,11655.00,11291.00,11640.00
225,11239.00,11624.00,11151.00,11573.00
224,11871.00,11940.00,11159.00,11239.00
223,11681.00,12070.00,11557.00,11866.00
222,11715.00,11803.00,11542.00,11681.00
221,11581.00,11812.00,11549.00,11715.00
220,11854.00,11920.00,11370.00,11581.00
219,11692.00,11917.00,11590.00,11854.00
218,11216.00,11724.00,11117.00,11692.00
217,11387.00,11421.00,11068.00,11213.00
216,11097.00,11479.00,10986.00,11387.00
215,11835.00,12097.00,10711.00,11102.00
214,11359.00,11874.00,11245.00,11835.00
213,11152.00,11462.00,10981.00,11359.00
212,11219.00,11335.00,10871.00,11155.00
211,10982.00,11290.00,10855.00,11230.00
210,10889.00,11387.00,10595.00,10982.00
209,9893.00,10906.00,9882.00,10862.00
208,9729.00,10128.00,9670.00,9893.00
207,9629.00,9742.00,9538.00,9734.00
206,9594.00,9634.00,9482.00,9629.00
205,9380.00,9674.00,9376.00,9594.00
204,9382.00,9402.00,9305.00,9380.00
203,9178.00,9440.00,9155.00,9382.00
202,9176.00,9225.00,9149.00,9178.00
201,9185.00,9192.00,9119.00,9176.00
200,9159.00,9208.00,9131.00,9185.00
199,9104.00,9185.00,8608.00,9159.00
198,9216.00,9231.00,9051.00,9103.00
197,9272.00,9277.00,9170.00,9216.00
196,9256.00,9278.00,9135.00,9272.00
195,9239.00,9332.00,9210.00,9256.00
194,9224.00,9345.00,9176.00,9240.00
193,9237.00,9313.00,9190.00,9224.00
192,9244.00,9260.00,9133.00,9237.00
191,9435.00,9473.00,9197.00,9244.00
190,9258.00,9462.00,9239.00,9435.00
189,9279.00,9372.00,9220.00,9258.00
188,9022.00,9353.00,8938.00,9280.00
187,9131.00,9149.00,9012.00,9022.00
186,9097.00,9188.00,9054.00,9132.00
185,9087.00,9147.00,9066.00,9097.00
184,9243.00,9266.00,8963.00,9087.00
183,9150.00,9300.00,9102.00,9243.00
182,9179.00,9231.00,9069.00,9150.00
181,9111.00,9192.00,9034.00,9178.00
180,8957.00,9189.00,8945.00,9111.00
179,9201.00,9212.00,8859.00,8957.00
178,9277.00,9333.00,9053.00,9201.00
177,9296.00,9320.00,9018.00,9278.00
176,9635.00,9669.00,9216.00,9296.00
175,9640.00,9752.00,9579.00,9644.00
174,9313.00,9655.00,9278.00,9640.00
173,9319.00,9405.00,9301.00,9313.00
172,9317.00,9347.00,9211.00,9319.00
171,9349.00,9417.00,9237.00,9316.00
170,9373.00,9476.00,9318.00,9349.00
169,9499.00,9553.00,9255.00,9379.00
168,9483.00,9594.00,9383.00,9499.00
167,9384.00,9484.00,8927.00,9484.00
166,9408.00,9478.00,9336.00,9384.00
165,9457.00,9492.00,9366.00,9407.00
164,9343.00,9558.00,9245.00,9457.00
163,9870.00,9959.00,9198.00,9338.00
162,9757.00,9975.00,9717.00,9870.00
161,9709.00,9855.00,9630.00,9758.00
160,9731.00,9796.00,9663.00,9709.00
159,9708.00,9793.00,9409.00,9707.00
158,9715.00,9734.00,9550.00,9708.00
157,9786.00,9854.00,9622.00,9715.00
156,9586.00,9870.00,9477.00,9786.00
155,9529.00,9637.00,9434.00,9585.00
154,9671.00,10339.00,9364.00,9529.00
153,9504.00,9691.00,9400.00,9691.00
152,9439.00,9728.00,9437.00,9504.00
151,9417.00,9594.00,9337.00,9439.00
150,9451.00,9614.00,9348.00,9417.00
149,9165.00,9518.00,9062.00,9453.00
148,8867.00,9216.00,8810.00,9163.00
147,8917.00,9005.00,8723.00,8867.00
146,9006.00,9080.00,8679.00,8917.00
145,9235.00,9300.00,8861.00,9006.00
144,9191.00,9308.00,9100.00,9235.00
143,9075.00,9263.00,8946.00,9191.00
142,9592.00,9594.00,8819.00,9075.00
141,9698.00,9832.00,9380.00,9592.00
140,9684.00,9882.00,9478.00,9698.00
139,9741.00,9924.00,9509.00,9684.00
138,9378.00,9867.00,9337.00,9741.00
137,9225.00,9576.00,9212.00,9385.00
136,9656.00,9847.00,9177.00,9225.00
135,9312.00,9936.00,9281.00,9655.00
134,8831.00,9331.00,8751.00,9312.00
133,8636.00,8976.00,8495.00,8832.00
132,8693.00,9142.00,8239.00,8636.00
131,9666.00,9685.00,8222.00,8700.00
130,9994.00,10017.00,9557.00,9666.00
129,9788.00,10045.00,9742.00,9994.00
128,9251.00,9959.00,9088.00,9774.00
127,8960.00,9379.00,8924.00,9251.00
126,8930.00,9113.00,8782.00,8969.00
125,8853.00,8952.00,8549.00,8930.00
124,8946.00,9216.00,8740.00,8861.00
123,8741.00,9027.00,8729.00,8946.00
122,8838.00,9070.00,8610.00,8741.00
121,8918.00,9448.00,8446.00,8830.00
120,7745.00,8970.00,7724.00,8918.00
119,7712.00,7789.00,7669.00,7744.00
118,7603.00,7750.00,7603.00,7708.00
117,7600.00,7700.00,7535.00,7603.00
116,7503.00,7602.00,7499.00,7600.00
115,7557.00,7609.00,7416.00,7531.00
